ID,WT,N_mass,N_perc,d15N,C_mass,C_perc,d13C,C:N
UR666,2.32,40.14452845,1.730367605,4.202689861,1051.012651,45.30226945,-30.98465484,26.18071981
UR664,2.45,50.56212391,2.06376016,4.981054566,1052.600086,42.96326883,-31.91535746,20.8179563
UR662,4.16,63.47131567,1.525752781,4.301102449,1770.849176,42.56848981,-32.52184653,27.89999163
UR661,3.57,72.39714488,2.027931229,6.203431875,1533.027025,42.94193347,-32.52448413,21.17524147
UR653,3.62,31.83133179,0.879318558,5.746968901,1235.130204,34.11961889,-31.51586287,38.80234141
UR652,2.38,46.19845467,1.941111541,4.457817647,970.5188634,40.77810351,-32.60147048,21.00760448
UR650,3.45,74.09372508,2.147644205,9.259081603,1504.186459,43.59960751,-30.8838907,20.30113154
AC678,3.92,41.98009772,1.07092086,9.748921163,1701.536763,43.40655007,-33.13739207,40.5319867
AC677,3.41,43.49341093,1.275466596,4.051174292,1248.056371,36.59989358,-32.96763636,28.69529761
AC674,2.54,46.88524609,1.84587583,7.715313607,1701.442215,66.98591396,-32.62423807,36.28950163
AC667,3.52,18.99964185,0.539762553,1.749082221,831.331025,23.61735866,-32.16580858,43.75508926
AC661,2.62,80.42314105,3.069585536,-1.677927289,1056.537833,40.3258715,-30.3374856,13.13723661
AC659,3.87,109.753157,2.83599889,-1.174090685,1103.617947,28.5172596,-30.91813164,10.05545514
AC656,3.02,74.47956954,2.466210912,-2.163598071,941.8422314,31.18682885,-30.06520295,12.64564547
AC654,2.19,67.29430634,3.072799376,-2.214874949,1132.796601,51.72587218,-30.68407644,16.83346872
AC649,3.55,99.46332769,2.801783879,-1.43637593,1129.758312,31.8241778,-30.38096236,11.35854127
AC648,2.49,59.82065756,2.402436047,-1.993703347,958.1521091,38.48000438,-30.20417402,16.01707751
AC647,3.19,114.62922,3.593392477,-1.570430798,1354.748894,42.46861737,-31.85696565,11.81853016
AC626,2.81,91.49335484,3.255991275,-1.508056172,1099.847284,39.14047272,-30.3608213,12.02106192
SA675,3.82,112.4639031,2.944081233,-0.887997925,1213.516625,31.76745093,-31.35465956,10.79027663
SA670,1.96,95.77983564,4.886726308,-1.923519883,1232.388932,62.87698631,-31.87531315,12.86689336
SA669,2.27,84.01254442,3.700993146,-1.935402181,1095.665669,48.26721008,-30.5874683,13.04169129
SA657,3.75,69.00658248,1.840175533,-1.720088045,1045.905586,27.89081563,-30.59852818,15.15660606
SA656,2.82,39.3009914,1.393652177,5.885246515,1168.690812,41.44293658,-33.93563315,29.73692953
SA651,3.07,50.71505436,1.651956168,6.804939616,1337.410247,43.56385169,-32.09934313,26.37106997
SA647,2.25,28.28606097,1.257158266,3.843781219,1148.475435,51.04335265,-32.76990885,40.60216923
SA644,2.97,23.47651942,0.790455199,3.766512814,1126.107903,37.916091,-32.71213014,47.967413
SA641,2.7,18.19142178,0.673756362,5.616357367,1057.69859,39.17402186,-32.53882542,58.14271161
SA691,3.29,42.65527492,1.296512916,3.158475639,1288.59985,39.16716869,-33.86390797,30.20962477
SA692,2.68,80.2678101,2.995067541,7.020053134,1501.638582,56.03129037,-34.63944835,18.70785537
SA693,2.85,32.81931105,1.151554774,5.742238572,1563.379544,54.85542259,-34.41011976,47.63596474
SA702,3,25.04957048,0.834985683,5.41887991,1228.376269,40.94587563,-33.11741833,49.03781763
SA703,3.04,22.69912812,0.746681846,4.808649713,1204.666141,39.62717569,-29.95048214,53.07103139
SA705,2.39,52.29174501,2.187939122,6.00425092,1383.655095,57.89351863,-34.71853818,26.46029684
SA714,2.77,33.08797663,1.194511792,5.24835828,1268.510356,45.7945977,-32.59127637,38.33750158
SA719,2.08,39.51698871,1.899855226,3.59419736,1271.522871,61.13090728,-34.28443793,32.17661348
SA725,3.46,23.64035385,0.683247221,4.434604297,1038.26917,30.00777947,-34.11916166,43.91935824
SA737,2.84,22.81715818,0.803421063,3.641685298,1032.076679,36.34072814,-33.41441418,45.23248124
SA745,2.97,32.75315984,1.102799995,3.917771929,1259.037238,42.39182621,-33.95445907,38.4401763
AC679,3.31,31.71465442,0.958146659,2.315467349,1232.471407,37.2347857,-34.348485,38.86125923
AC681,3.03,29.55277533,0.97533912,3.25550493,1292.929527,42.67094147,-34.56218226,43.74985132
AC686,2.77,43.45071921,1.568618022,5.951038286,1196.28582,43.18721371,-33.93067914,27.53201423
AC691,2.39,34.54343643,1.445332068,4.674220068,1380.373857,57.75622834,-34.58827629,39.96052507
AC695,2.78,29.71802602,1.068993742,3.639339045,1488.423559,53.54041579,-34.70221086,50.08487299
AC698,3.08,17.92927337,0.582119265,5.044006739,1260.109687,40.91265219,-33.21330598,70.28225077
AC704,3.21,25.30265321,0.788244648,3.337682704,1353.948559,42.17908284,-34.29833828,53.51014171
AC706,3.46,32.57515295,0.941478409,3.44434891,1052.289072,30.41297895,-32.85197871,32.30342689
AC707,2.52,48.32989681,1.917853048,5.233960948,1150.8253,45.66767062,-33.25768605,23.81187165
AC709,2.81,42.24716682,1.503457894,5.913412364,1093.877191,38.92801393,-32.16987981,25.89232068
AC710,2.77,52.03210788,1.878415447,7.253562346,1256.651833,45.36649217,-33.0179586,24.15146886
AC711,3.04,45.47881694,1.496013715,7.886271146,1578.441306,51.92241138,-33.04303481,34.70717605
UR713,2.85,35.84898352,1.257859071,5.251435968,1199.917849,42.10238065,-32.326175,33.47146085
